source_word,target_word,weight
far,important,4
far,look,4
far,see,5
future,idea,2
future,important,2
future,look,2
future,see,4
idea,important,2
idea,look,4
idea,see,2
important,look,2
important,see,2
look,see,8
bad,know,12
bad,talk,2
know,talk,3
ago,die,2
ago,earth,2
ago,long,4
ago,start,5
ago,time,4
ago,year,26
ago,’m,2
die,earth,8
die,long,2
die,start,4
die,time,3
die,year,9
die,’m,3
earth,long,4
earth,start,4
earth,time,5
earth,year,4
earth,’m,3
long,time,6
long,year,2
long,’m,2
start,time,4
start,year,10
start,’m,5
time,’m,3
year,’m,6
capitalism,climate,2
capitalism,earth,2
capitalism,movie,2
climate,earth,11
climate,movie,2
earth,movie,2
true,unfortunately,2
literally,project,3
day,play,2
day,world,2
play,world,2
already,late,2
already,too,2
already,info,2
already,kind,2
already,know,2
already,make,2
already,rich,2
already,😁,3
info,kind,2
info,know,2
info,make,2
info,rich,2
info,😁,2
kind,know,2
kind,make,2
kind,rich,2
kind,😁,2
know,make,12
know,rich,2
know,😁,2
make,rich,5
make,😁,2
rich,😁,2
never,predict,2
never,yet,2
predict,yet,2
kind,smart,2
kind,thank,2
kind,🥰,2
smart,thank,2
smart,🥰,4
thank,🥰,8
earth,house,2
earth,listen,2
earth,talk,2
house,listen,2
house,talk,4
hope,last,2
build,eventually,2
build,forever,2
build,here,2
build,learn,2
build,love,2
build,matter,2
build,stay,2
build,want,4
eventually,forever,2
eventually,here,2
eventually,learn,2
eventually,love,2
eventually,matter,4
eventually,stay,2
eventually,want,2
forever,here,2
forever,learn,2
forever,love,2
forever,matter,2
forever,stay,2
forever,want,2
here,learn,2
here,love,2
here,matter,2
here,stay,4
here,want,2
learn,love,2
learn,matter,2
learn,stay,2
learn,want,3
love,stay,2
love,want,2
matter,stay,2
matter,want,2
stay,want,2
imagine,leave,2
imagine,make,3
imagine,only,2
imagine,people,5
imagine,rich,2
imagine,there,2
imagine,up,3
imagine,wrong,2
leave,make,2
leave,only,2
leave,people,3
leave,rich,2
leave,there,3
leave,up,2
leave,wrong,2
make,only,7
make,people,12
make,there,2
make,up,2
make,wrong,2
only,people,8
only,rich,3
only,there,2
only,up,3
only,wrong,3
people,rich,12
people,there,4
people,up,2
people,wrong,2
rich,there,2
rich,up,2
rich,wrong,2
there,wrong,2
up,wrong,2
care,current,2
care,give,2
care,leader,2
care,more,5
care,people,6
care,power,5
care,save,2
care,trend,2
current,give,2
current,leader,2
current,more,2
current,people,4
current,power,4
current,save,2
current,trend,2
give,leader,2
give,more,3
give,people,5
give,power,4
give,save,2
give,trend,2
leader,more,2
leader,people,4
leader,power,4
leader,save,2
leader,trend,2
more,people,17
more,power,6
more,save,2
more,trend,2
people,people,4
people,power,8
people,save,5
people,trend,4
power,power,2
power,save,4
power,trend,4
save,trend,2
effect,huge,2
ask,earth,6
ask,idea,2
ask,other,8
ask,people,5
ask,rich,2
earth,idea,2
earth,other,5
earth,people,7
earth,rich,2
idea,other,2
idea,people,4
idea,rich,2
other,people,4
other,rich,2
ahh,attention,2
bro,even,3
bro,hard,2
bro,laugh,2
even,hard,3
even,laugh,2
hard,laugh,2
earth,space,2
rock,space,3
game,super,2
game,world,2
super,world,2
love,mile,2
love,space,3
love,stuff,2
love,🤣,2
mile,space,2
mile,stuff,2
mile,🤣,2
space,stuff,2
space,🤣,2
stuff,🤣,2
bro,lose,3
bro,real,2
lose,real,2
reason,’re,2
God,Palestine,2
God,bless,4
God,family,2
God,feel,7
God,people,2
God,woman,2
Palestine,bless,2
Palestine,family,2
Palestine,feel,2
Palestine,woman,2
bless,family,2
bless,feel,2
bless,people,2
bless,woman,2
family,feel,2
family,people,2
family,woman,2
feel,woman,2
people,woman,4
UN,country,4
believe,show,2
believe,too,2
believe,😭,9
show,too,2
show,😭,8
UN,control,2
UN,free,2
UN,literally,2
control,country,2
control,free,2
control,literally,2
control,world,5
country,free,2
country,literally,2
country,world,3
free,literally,2
free,world,2
literally,world,2
UN,think,2
think,understand,3
Florida,ahh,2
Florida,else,3
Florida,hit,2
Florida,know,2
ahh,else,2
ahh,hit,2
ahh,know,2
else,hit,2
else,know,2
hit,know,3
destroy,eventually,2
destroy,matter,2
destroy,no,2
destroy,point,2
destroy,s,2
eventually,no,2
eventually,point,3
eventually,s,2
matter,point,2
matter,s,2
no,point,2
no,s,2
point,s,2
allow,base,2
allow,child,2
allow,exactly,2
allow,get,2
allow,need,2
allow,well,2
allow,world,2
base,child,3
base,exactly,2
base,get,2
base,need,3
base,well,2
base,world,2
child,exactly,2
child,get,2
child,need,2
child,well,2
child,world,2
exactly,get,2
exactly,need,2
exactly,well,2
exactly,world,2
get,well,7
get,world,4
need,well,7
need,world,4
well,world,4
explain,help,2
explain,space,2
help,space,2
here,thank,2
here,then,6
space,stay,2
space,thank,2
space,then,2
stay,thank,2
stay,then,2
thank,then,2
full,micro,2
full,plastic,2
huge,issue,2
huge,microplastic,2
huge,true,2
issue,microplastic,2
issue,true,2
microplastic,true,2
absolutely,air,2
friend,make,2
friend,sense,2
friend,tell,2
friend,try,2
make,tell,2
make,try,3
sense,tell,2
sense,try,2
tell,try,5
literally,serious,2
literally,that,2
serious,that,2
always,literally,2
always,trash,2
literally,trash,2
car,day,2
car,drop,2
car,feel,2
car,people,8
car,road,6
car,think,2
car,throw,2
car,trash,2
car,whole,2
day,drop,2
day,feel,2
day,people,4
day,road,2
day,think,5
day,throw,2
day,trash,2
day,whole,3
drop,feel,2
drop,people,2
drop,road,2
drop,think,2
drop,throw,2
drop,trash,2
drop,whole,2
feel,road,2
feel,think,2
feel,throw,3
feel,trash,2
feel,whole,2
people,road,2
people,throw,3
people,trash,2
people,whole,3
road,think,3
road,throw,2
road,trash,2
road,whole,2
think,throw,2
think,trash,2
think,whole,3
throw,trash,2
throw,whole,2
trash,whole,2
let,major,2
let,slide,3
major,slide,2
bug,stand,2
bro,there,4
bro,trash,3
there,too,2
there,trash,2
too,trash,2
cause,summer,2
act,also,2
act,clean,2
act,forest,2
act,m,2
act,pick,2
act,see,3
act,work,4
also,clean,2
also,forest,2
also,m,2
also,pick,2
also,see,8
also,work,7
clean,forest,2
clean,m,2
clean,pick,2
clean,see,2
clean,work,2
forest,m,2
forest,pick,2
forest,see,5
forest,work,2
m,pick,3
m,see,2
m,work,2
pick,see,3
pick,work,6
see,work,5
back,clock,2
back,once,2
back,year,2
clock,once,2
clock,year,7
once,year,4
other,product,2
other,💀,2
product,💀,2
cut,dry,2
cut,ever,2
cut,pretty,2
cut,seem,2
cut,start,2
dry,ever,2
dry,pretty,2
dry,seem,2
dry,start,2
ever,pretty,2
ever,seem,2
ever,start,2
pretty,seem,2
pretty,start,2
seem,start,2
here,level,2
eat,man,2
eat,plastic,2
eat,real,2
eat,solution,2
man,plastic,2
man,solution,2
plastic,real,2
plastic,solution,2
real,solution,2
also,be,3
be,microplastic,2
be,steak,2
microplastic,steak,4
bring,microplastic,2
account,grow,2
account,kind,2
account,other,2
account,see,2
account,seem,2
account,try,2
grow,kind,2
grow,other,2
grow,see,2
grow,seem,2
grow,try,3
kind,other,2
kind,see,2
kind,seem,2
kind,try,2
other,see,7
other,seem,2
other,try,2
see,seem,2
see,try,2
seem,try,2
actually,bad,2
actually,make,4
actually,thing,4
whole,world,3
end,even,7
end,know,8
end,one,2
end,world,5
even,know,6
even,one,2
even,world,4
know,know,11
know,one,4
know,world,5
one,world,3
bc,point,2
wait,😭,12
get,president,2
get,run,3
get,vote,5
president,run,2
president,vote,2
Antarctica,be,3
Antarctica,bloom,7
Antarctica,flower,9
be,bloom,3
be,flower,4
%,hard,2
%,matter,2
%,never,3
%,no,2
%,work,2
%,world,5
hard,matter,2
hard,never,2
hard,no,2
hard,work,9
hard,world,2
matter,never,2
matter,work,2
matter,world,2
never,no,2
never,work,3
never,world,3
no,work,3
no,world,2
work,world,2
early,feel,2
early,wrong,2
feel,wrong,3
make,man,3
make,now,6
make,president,2
make,right,4
man,now,3
man,president,2
man,right,2
now,president,2
now,right,11
president,right,2
new,turn,2
new,🤣,2
turn,🤣,2
only,😭,6
only,🤣,2
😭,🤣,18
name,real,4
name,s,2
real,real,2
real,s,4
call,hear,2
call,let,2
hear,let,3
job,money,2
job,only,2
job,speak,2
job,use,2
money,only,7
money,speak,2
only,speak,2
only,use,3
speak,use,2
good,old,2
good,replace,2
good,very,13
need,old,2
need,replace,3
need,very,3
old,replace,2
old,very,2
replace,very,2
again,big,2
again,live,2
again,remind,2
again,state,2
big,live,3
big,remind,2
big,state,2
live,remind,2
live,state,3
remind,state,2
generation,melt,2
last,m,2
last,world,3
last,year,23
m,world,2
m,year,2
world,year,7
😏,😞,2
find,people,4
find,🏻,6
find,🙏,6
people,🏻,6
people,🙏,6
🏻,🏻,11
🏻,🙏,20
🙏,🙏,39
buy,cause,2
buy,microplastic,2
buy,more,3
buy,plastic,3
buy,problem,2
buy,steak,2
cause,microplastic,2
cause,more,6
cause,plastic,2
cause,problem,7
microplastic,plastic,2
microplastic,problem,2
more,plastic,3
more,problem,7
more,steak,2
plastic,problem,3
problem,steak,2
book,history,3
book,see,2
history,see,2
absolutely,lorax,2
absolutely,right,3
absolutely,serious,2
absolutely,stop,2
absolutely,too,4
absolutely,very,2
lorax,right,2
lorax,serious,2
lorax,stop,2
lorax,too,2
lorax,very,2
right,serious,2
right,stop,2
right,too,2
right,very,2
serious,stop,2
serious,too,2
serious,very,2
stop,too,2
stop,very,2
too,very,3
fr,movie,2
fr,talk,2
fr,truth,2
fr,whole,3
movie,talk,2
movie,truth,2
movie,whole,2
talk,truth,2
talk,whole,3
truth,whole,2
always,send,2
control,even,2
control,move,2
control,single,2
control,tree,2
even,move,4
even,single,3
even,tree,6
move,single,2
move,tree,2
move,world,2
single,tree,2
single,world,3
tree,world,2
bear,care,2
bear,die,2
bear,few,2
bear,keep,3
bear,polar,10
bear,sure,2
bear,tree,2
bear,work,2
care,die,2
care,few,2
care,keep,2
care,polar,2
care,sure,2
care,tree,3
care,work,2
die,few,2
die,keep,2
die,polar,2
die,sure,2
die,tree,2
die,work,2
few,keep,2
few,polar,2
few,sure,2
few,tree,3
few,work,2
keep,polar,3
keep,sure,2
keep,tree,2
keep,work,4
polar,sure,2
polar,tree,2
polar,work,2
sure,tree,4
sure,work,3
tree,work,2
big,fan,2
big,probably,2
fan,probably,2
about,ago,4
about,dad,2
about,happen,2
about,laugh,2
about,lucky,2
about,movie,2
about,real,2
about,really,2
about,tell,2
about,turn,2
about,watch,6
about,week,2
ago,dad,2
ago,happen,3
ago,laugh,2
ago,lucky,2
ago,movie,2
ago,real,2
ago,really,2
ago,tell,5
ago,turn,2
ago,watch,6
ago,week,3
dad,happen,3
dad,laugh,2
dad,lucky,2
dad,movie,2
dad,real,2
dad,really,2
dad,tell,2
dad,turn,2
dad,watch,2
dad,week,2
happen,laugh,3
happen,lucky,2
happen,movie,2
happen,real,2
happen,tell,2
happen,turn,2
